episode,return,gae_lambda
0,-540.371,0.8
1,-31.565,0.8
2,70.248,0.8
3,-408.52,0.8
4,-171.415,0.8
5,-58.618,0.8
6,-767.191,0.8
7,-638.122,0.8
8,-221.161,0.8
9,-482.411,0.8
10,149.554,0.8
11,-58.064,0.8
12,-349.565,0.8
13,-548.033,0.8
14,-434.877,0.8
15,-395.662,0.8
16,-249.512,0.8
17,125.202,0.8
18,-106.963,0.8
19,-453.632,0.8
20,-2.175,0.8
21,-119.35,0.8
22,-123.261,0.8
23,-239.669,0.8
24,14.844,0.8
25,-251.244,0.8
26,-252.708,0.8
27,-294.308,0.8
28,-355.498,0.8
29,165.172,0.8
30,8.281,0.8
31,-186.926,0.8
32,-276.256,0.8
33,-209.363,0.8
34,-164.501,0.8
35,-73.93,0.8
36,-284.627,0.8
37,-243.218,0.8
38,-250.821,0.8
39,-67.828,0.8
40,-130.228,0.8
41,-572.79,0.8
42,-287.701,0.8
43,60.591,0.8
44,-420.871,0.8
45,-37.887,0.8
46,174.915,0.8
47,-12.427,0.8
48,-566.822,0.8
49,-63.689,0.8
50,-558.422,0.8
51,-333.636,0.8
52,-34.859,0.8
53,-54.033,0.8
54,-332.655,0.8
55,-1049.048,0.8
56,-116.504,0.8
57,-257.296,0.8
58,-157.812,0.8
59,-143.471,0.8
60,-634.428,0.8
61,-207.833,0.8
62,-547.538,0.8
63,-270.156,0.8
64,-120.749,0.8
65,-124.764,0.8
66,-228.87,0.8
67,-478.971,0.8
68,-174.881,0.8
69,-342.42,0.8
70,-702.971,0.8
71,-59.691,0.8
72,-105.926,0.8
73,-159.43,0.8
74,-240.367,0.8
75,-626.104,0.8
76,-37.97,0.8
77,-444.171,0.8
78,-85.794,0.8
79,-452.085,0.8
80,30.457,0.8
81,-293.097,0.8
82,-375.541,0.8
83,-200.242,0.8
84,-305.295,0.8
85,-196.514,0.8
86,-277.491,0.8
87,-397.123,0.8
88,-819.708,0.8
89,-249.393,0.8
90,-585.124,0.8
91,44.812,0.8
92,-336.592,0.8
93,-206.94,0.8
94,-636.558,0.8
95,-159.387,0.8
96,-429.562,0.8
97,-530.875,0.8
98,-283.129,0.8
99,-192.497,0.8
100,-822.75,0.8
101,-14.676,0.8
102,59.597,0.8
103,-125.683,0.8
104,-72.603,0.8
105,-452.788,0.8
106,-11.765,0.8
107,-681.5,0.8
108,-343.343,0.8
109,-228.852,0.8
110,-285.524,0.8
111,174.772,0.8
112,-424.914,0.8
113,-114.079,0.8
114,-288.831,0.8
115,-64.076,0.8
116,-106.647,0.8
117,-287.622,0.8
118,-21.275,0.8
119,-91.227,0.8
120,-435.711,0.8
121,-376.456,0.8
122,-27.347,0.8
123,-520.108,0.8
124,-212.411,0.8
125,-85.739,0.8
126,-277.695,0.8
127,-154.292,0.8
128,-305.031,0.8
129,-422.242,0.8
130,-426.723,0.8
131,-164.713,0.8
132,-169.838,0.8
133,1.969,0.8
134,-392.126,0.8
135,-180.7,0.8
136,-243.84,0.8
137,77.161,0.8
138,-464.602,0.8
139,-302.126,0.8
140,-260.899,0.8
141,-220.657,0.8
142,-346.444,0.8
143,-40.93,0.8
144,-184.706,0.8
145,-734.103,0.8
146,-205.689,0.8
147,-203.271,0.8
148,-280.736,0.8
149,69.321,0.8
150,-27.646,0.8
151,-168.144,0.8
152,118.283,0.8
153,-416.539,0.8
154,-264.538,0.8
155,-235.522,0.8
156,-188.457,0.8
157,-227.21,0.8
158,-6.3,0.8
159,-2.125,0.8
160,-146.993,0.8
161,-568.958,0.8
162,-596.166,0.8
163,-71.892,0.8
164,0.664,0.8
165,-130.524,0.8
166,-307.71,0.8
167,0.917,0.8
168,-14.186,0.8
169,-48.067,0.8
170,-101.54,0.8
171,-236.849,0.8
172,-605.714,0.8
173,-169.865,0.8
174,-251.854,0.8
175,-281.976,0.8
176,-270.847,0.8
177,45.41,0.8
178,-316.816,0.8
179,-213.472,0.8
180,-496.397,0.8
181,-191.18,0.8
182,-295.928,0.8
183,-82.669,0.8
184,9.16,0.8
185,-87.018,0.8
186,-115.99,0.8
187,-256.253,0.8
188,-532.831,0.8
189,-422.62,0.8
190,-442.714,0.8
191,-274.817,0.8
192,-160.742,0.8
193,-69.706,0.8
194,76.578,0.8
195,-63.051,0.8
196,-243.527,0.8
197,-369.209,0.8
198,-319.736,0.8
199,-116.99,0.8
200,-226.312,0.8
201,-147.375,0.8
202,-48.647,0.8
203,-432.426,0.8
204,-100.899,0.8
205,-356.909,0.8
206,123.975,0.8
207,-326.223,0.8
208,-242.544,0.8
209,-75.995,0.8
210,-512.084,0.8
211,-76.704,0.8
212,-466.706,0.8
213,19.887,0.8
214,-436.42,0.8
215,111.085,0.8
216,-194.844,0.8
217,-214.781,0.8
218,-214.852,0.8
219,8.451,0.8
220,-385.401,0.8
221,-294.33,0.8
222,-339.86,0.8
223,-247.396,0.8
224,-518.098,0.8
225,-311.649,0.8
226,-306.425,0.8
227,-334.779,0.8
228,-175.447,0.8
229,-640.659,0.8
230,-182.287,0.8
231,-235.706,0.8
232,-344.203,0.8
233,-1037.073,0.8
234,2.558,0.8
235,-438.26,0.8
236,-308.092,0.8
237,-785.48,0.8
238,-257.566,0.8
239,-124.408,0.8
240,-284.127,0.8
241,39.085,0.8
242,-722.309,0.8
243,-393.176,0.8
244,-571.095,0.8
245,-2.974,0.8
246,-128.714,0.8
247,60.578,0.8
248,-367.264,0.8
249,-85.154,0.8
250,-232.834,0.8
251,-94.251,0.8
252,-32.437,0.8
253,16.151,0.8
254,-327.521,0.8
255,-264.522,0.8
256,-37.227,0.8
257,52.317,0.8
258,-645.694,0.8
259,-514.781,0.8
260,-318.268,0.8
261,-464.606,0.8
262,-183.593,0.8
263,-663.119,0.8
264,-633.438,0.8
265,-98.709,0.8
266,-84.976,0.8
267,23.696,0.8
268,-470.53,0.8
269,-198.72,0.8
270,-440.13,0.8
271,-191.658,0.8
272,-400.086,0.8
273,-543.434,0.8
274,-376.221,0.8
275,-242.441,0.8
276,-207.987,0.8
277,-298.986,0.8
278,-339.872,0.8
279,-141.429,0.8
280,-138.635,0.8
281,-169.061,0.8
282,-251.243,0.8
283,-109.568,0.8
284,-179.181,0.8
285,-432.609,0.8
286,-385.731,0.8
287,-423.498,0.8
288,-314.253,0.8
289,-15.297,0.8
290,-168.88,0.8
291,-132.242,0.8
292,-7.48,0.8
293,-263.956,0.8
294,-314.459,0.8
295,-92.133,0.8
296,18.172,0.8
297,-116.879,0.8
298,-302.185,0.8
299,-318.594,0.8
